nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0076759,tt0066434,tt0069704,tt0082971"
nm0000185,Dolph Lundgren,1957,\N,"actor,producer,director","tt0089927,tt0093507,tt0098141,tt0105698"
nm0000186,David Lynch,1946,2025,"writer,director,producer","tt0098936,tt0460829,tt0105665,tt0166924"
nm0000189,Jenny McCarthy-Wahlberg,1972,\N,"actress,producer,writer","tt0327643,tt0455967,tt0134084,tt0131857"
nm0000197,Jack Nicholson,1937,\N,"actor,producer,writer","tt0071315,tt0119822,tt0407887,tt0064276"
nm0000198,Gary Oldman,1958,\N,"actor,producer,director","tt1340800,tt0468569,tt4555426,tt0103874"
nm0000199,Al Pacino,1940,\N,"actor,director,producer","tt0070666,tt0072890,tt0068646,tt0099422"
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0280707,tt0375679,tt0139134,tt0120577"
nm0000212,Meg Ryan,1961,\N,"actress,producer,director","tt0098635,tt0108160,tt0128853,tt0120632"
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0075314,tt5537002,tt0070379,tt0099685"
nm0000219,Steven Seagal,1952,\N,"actor,producer,writer","tt0110725,tt0094602,tt0114781,tt0105690"
nm0000221,Charlie Sheen,1965,\N,"actor,producer,writer","tt0369179,tt0108333,tt0094291,tt0096487"
nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0108052,tt0083866,tt0120815,tt0082971"
nm0000230,Sylvester Stallone,1946,\N,"actor,producer,writer","tt0075148,tt0089927,tt3076658,tt0084602"
nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0096969,tt0091763,tt0102138,tt0110632"
nm0000233,Quentin Tarantino,1963,\N,"writer,producer,actor","tt0105236,tt0110912,tt0116367,tt7131622"
nm0000235,Uma Thurman,1970,\N,"actress,producer,writer","tt0266697,tt0378194,tt0110912,tt0118688"
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,producer,writer","tt0101764,tt0119013,tt0097659,tt0111301"
nm0000243,Denzel Washington,1954,\N,"actor,producer,director","tt2671706,tt1037705,tt0168786,tt0139654"
nm0000247,John Woo,1946,\N,"director,producer,writer","tt0092263,tt0425637,tt0104684,tt0119094"
nm0000248,Edward D. Wood Jr.,1924,1978,"writer,director,actor","tt0052077,tt0045826,tt0047127,tt0067479"
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt2120120,tt0181852,tt1596350,tt1564367"
nm0000252,Robert Ellis,1892,1974,"actor,director,writer","tt0010781,tt0030778,tt0006213,tt0030738"
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt1024648,tt2267998,tt0840361,tt0119217"
nm0000264,Pedro Almodóvar,1949,\N,"writer,director,producer","tt0287467,tt0101026,tt1189073,tt0091495"
nm0000265,Robert Altman,1925,2006,"director,producer,writer","tt0280707,tt0073440,tt0108122,tt0105151"
nm0000269,Jean-Jacques Annaud,1943,\N,"director,producer,writer","tt0091605,tt0215750,tt2909116,tt0082484"
nm0000274,David Arquette,1971,\N,"producer,actor,director","tt0134084,tt0151738,tt0120082,tt0117571"
nm0000277,Richard Attenborough,1923,2014,"actor,producer,director","tt0107290,tt0057115,tt0083987,tt0119567"
nm0000285,Alec Baldwin,1958,\N,"actor,producer,writer","tt0407887,tt1230414,tt0104348,tt0318374"
nm0000299,Michael Biehn,1956,\N,"actor,producer,director","tt0090605,tt0088247,tt0096754,tt0117500"
nm0000316,Mel Brooks,1926,\N,"actor,writer,producer","tt0094012,tt0395251,tt0082517,tt0071230"
nm0000318,Tim Burton,1958,\N,"producer,writer,miscellaneous","tt0099487,tt1142977,tt0121164,tt0408236"
nm0000320,Luis Buñuel,1900,1983,"writer,director,actor","tt0068361,tt0061395,tt0075824,tt0056732"
nm0000329,Jackie Chan,1954,\N,"producer,actor,stunts","tt0127357,tt1424310,tt0089374,tt0120812"
nm0000338,Francis Ford Coppola,1939,\N,"producer,director,writer","tt0078788,tt0071360,tt0071562,tt0068646"
nm0000339,Roger Corman,1926,2024,"producer,director,actor","tt0102926,tt0112384,tt0091419,tt0099612"
nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0107290,tt0117998,tt0070909,tt0108757"
nm0000343,David Cronenberg,1943,\N,"actor,director,writer","tt0091064,tt0094964,tt0120907,tt0115964"
nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0113097,tt0101587,tt0098635,tt0122933"
nm0000352,Vincent D'Onofrio,1959,\N,"actor,producer,director","tt0119654,tt0209958,tt0093058,tt1989475"
nm0000361,Brian De Palma,1940,\N,"director,writer,producer","tt0086984,tt0080661,tt0099165,tt0094226"
nm0000365,Julie Delpy,1969,\N,"actress,writer,producer","tt0111507,tt0841044,tt0112471,tt0381681"
nm0000367,Gérard Depardieu,1948,\N,"actor,producer,director","tt0099334,tt0120744,tt0099699,tt0083789"
nm0000382,Atom Egoyan,1960,\N,"director,writer,producer","tt0120255,tt3704050,tt0109759,tt0273435"
nm0000386,Roland Emmerich,1955,\N,"writer,producer,director","tt0116629,tt0120685,tt0319262,tt1628841"
nm0000389,Emilio Estevez,1962,\N,"actor,director,producer","tt1441912,tt0308055,tt3294746,tt0100994"
nm0000390,Joe Eszterhas,1944,\N,"writer,producer,miscellaneous","tt0103772,tt0114436,tt0108162,tt0118577"
nm0000399,David Fincher,1962,\N,"producer,director,writer","tt0114369,tt2267998,tt1285016,tt0443706"
nm0000406,John Ford,1894,1973,"director,producer,actor","tt0045061,tt0032551,tt0033729,tt0031971"
nm0000408,Jonathan Frakes,1952,\N,"actor,director,producer","tt0117731,tt0120844,tt0111280,tt0253754"
nm0000416,Terry Gilliam,1940,\N,"director,writer,actor","tt0088846,tt0071853,tt0081633,tt0085959"
nm0000419,Jean-Luc Godard,1930,2022,"director,writer,editor","tt0057869,tt0056663,tt0057345,tt0058898"
nm0000425,Peter Greenaway,1942,\N,"director,writer,editor","tt0097108,tt0092929,tt0446750,tt0114134"
nm0000428,D.W. Griffith,1875,1948,"director,writer,producer","tt0004972,tt0006864,tt0010484,tt0009968"
nm0000431,Taylor Hackford,1944,\N,"producer,director,writer","tt0350258,tt0106469,tt0109642,tt0084434"
nm0000436,Curtis Hanson,1945,2016,"director,producer,writer","tt0119488,tt0388125,tt0104389,tt0185014"
nm0000454,Dennis Hopper,1936,2010,"actor,director,writer","tt0064276,tt0090756,tt0111257,tt0114898"
nm0000455,John Hughes,1950,2009,"miscellaneous,writer,producer","tt0093748,tt0098554,tt0088847,tt0091042"
nm0000463,Famke Janssen,1964,\N,"actress,producer,costume_department","tt0376994,tt0113189,tt0120903,tt0185371"
nm0000464,Jim Jarmusch,1953,\N,"director,writer,actor","tt1714915,tt0412019,tt5247022,tt0088184"
nm0000466,Jean-Pierre Jeunet,1953,\N,"director,writer,producer","tt0344510,tt0211915,tt0101700,tt0112682"
nm0000473,Diane Keaton,1946,2025,"actress,producer,director","tt0075686,tt0082979,tt0337741,tt0356680"
nm0000484,John Landis,1950,\N,"producer,director,actor","tt0080455,tt0067716,tt0086491,tt0118747"
nm0000485,Fritz Lang,1890,1976,"writer,director,producer","tt0057345,tt0022100,tt0017136,tt0027652"
nm0000487,Ang Lee,1954,\N,"director,producer,writer","tt0107156,tt0190332,tt0454876,tt0808357"
nm0000490,Spike Lee,1957,\N,"director,producer,writer","tt0097216,tt0104797,tt0091939,tt0102175"
nm0000491,John Leguizamo,1960,\N,"actor,producer,writer","tt0203009,tt0120177,tt0162677,tt0117509"
nm0000500,Richard Linklater,1960,\N,"producer,director,writer","tt0243017,tt2209418,tt0102943,tt0405296"
nm0000513,William H. Macy,1950,\N,"actor,writer,producer","tt0116282,tt0175880,tt1586680,tt0118749"
nm0000517,Terrence Malick,1943,\N,"producer,writer,director","tt0077405,tt0069762,tt0478304,tt5827916"
nm0000519,David Mamet,1947,\N,"writer,producer,director","tt0120176,tt0093223,tt0120202,tt0104348"
nm0000520,Michael Mann,1943,\N,"producer,writer,director","tt0140352,tt0369339,tt0104691,tt0083190"
nm0000532,Malcolm McDowell,1943,\N,"actor,producer,writer","tt0066921,tt0111280,tt0080025,tt0373883"
nm0000540,Russ Meyer,1922,2004,"director,cinematographer,writer","tt0078846,tt0059170,tt0075376,tt0059474"
nm0000551,Dermot Mulroney,1963,\N,"actor,music_department,producer","tt0119738,tt1322269,tt0096487,tt0372532"
nm0000552,Eddie Murphy,1961,\N,"actor,writer,producer","tt0097481,tt0117218,tt0092644,tt0443489"
nm0000559,Leonard Nimoy,1931,2015,"actor,producer,director","tt0092007,tt0102975,tt0088170,tt0796366"
nm0000567,George Orwell,1903,1950,"writer,director,producer","tt0087803,tt35854107,tt0048918,tt1785318"
nm0000568,Frank Oz,1944,\N,"actor,miscellaneous,director","tt0074028,tt0063951,tt0080684,tt0086190"
nm0000570,Alan Parker,1944,2020,"director,writer,producer","tt0116250,tt0095647,tt0077928,tt0101605"
nm0000576,Sean Penn,1960,\N,"actor,producer,director","tt0327056,tt0315733,tt0112818,tt30144839"
nm0000578,Anthony Perkins,1932,1992,"actor,director,writer","tt0054215,tt0086154,tt0057427,tt0091799"
nm0000581,Joseph L. Mankiewicz,1909,1993,"writer,producer,director","tt0042192,tt0041587,tt0056937,tt0069281"
nm0000583,Wolfgang Petersen,1941,2022,"director,writer,producer","tt0082096,tt0089092,tt0088323,tt0114069"
nm0000586,Jada Pinkett Smith,1971,\N,"producer,actress,writer","tt0242653,tt0114608,tt0120082,tt0369339"
nm0000590,Edgar Allan Poe,1809,1849,"writer,miscellaneous,soundtrack","tt1772264,tt0024894,tt8381734,tt1663656"
nm0000591,Roman Polanski,1933,\N,"director,actor,writer","tt0071315,tt0074811,tt1139328,tt1692486"
nm0000600,Sam Raimi,1959,\N,"producer,writer,actor","tt0145487,tt0083907,tt0106308,tt0099365"
nm0000601,Harold Ramis,1944,2014,"writer,actor,producer","tt0087332,tt0107048,tt0083131,tt0478311"
nm0000602,Robert Redford,1936,2025,"producer,actor,director","tt0087781,tt0081283,tt0064115,tt0074119"
nm0000608,Burt Reynolds,1936,2018,"producer,actor,director","tt0118749,tt0076729,tt0117765,tt0082136"
nm0000621,Kurt Russell,1951,\N,"actor,producer,writer","tt0082340,tt3460252,tt0116225,tt0084787"
nm0000625,Fred Savage,1976,\N,"actor,director,producer","tt0094582,tt0093779,tt0090768,tt4481322"
nm0000626,John Sayles,1950,\N,"writer,actor,director","tt0116905,tt0087004,tt0095082,tt0119657"
nm0000631,Ridley Scott,1937,\N,"producer,director,production_designer","tt3659388,tt0083658,tt0103074,tt2193215"
nm0000634,Peter Sellers,1925,1980,"actor,writer,director","tt0078841,tt0057012,tt0057413,tt0072081"
nm0000635,Yahoo Serious,1953,\N,"director,actor,writer","tt0096486,tt0107930,tt0156807,tt6893696"
nm0000636,William Shakespeare,1564,1616,"writer,miscellaneous,music_department","tt10095582,tt20711868,tt8632012,tt14297038"
nm0000641,Gary Sinise,1955,\N,"actor,producer,director","tt0109830,tt0105046,tt0112384,tt0117438"
nm0000647,Alan Smithee,\N,\N,"director,actor,editor","tt27881541,tt0118577,tt0095342,tt28795838"
nm0000658,Meryl Streep,1949,\N,"actress,writer,producer","tt0795421,tt0089755,tt1322269,tt0084707"
nm0000668,Emma Thompson,1959,\N,"actress,writer,producer","tt0114388,tt2140373,tt0107943,tt0104454"
nm0000671,Billy Bob Thornton,1955,\N,"actor,writer,producer","tt0117666,tt0120324,tt0243133,tt0219965"
nm0000680,Casper Van Dien,1968,\N,"actor,producer,director","tt0120201,tt13443470,tt0162661,tt0120856"
nm0000681,Vince Vaughn,1970,\N,"producer,actor,writer","tt0452594,tt0396269,tt1078940,tt5657856"
nm0000682,Paul Verhoeven,1938,\N,"director,producer,writer","tt0093870,tt0389557,tt3716530,tt0120201"
nm0000683,Gore Vidal,1925,2012,"writer,actor,archive_footage","tt0119177,tt0111732,tt0080491,tt0041061"
nm0000691,John Waters,1946,\N,"actor,writer,director","tt0126604,tt0069089,tt0387575,tt0095270"
nm0000694,Wim Wenders,1945,\N,"director,producer,writer","tt0093191,tt27503384,tt0087884,tt0101458"
nm0000697,Billy Wilder,1906,2002,"writer,director,producer","tt0053604,tt0053291,tt0047437,tt0043014"
nm0000698,Gene Wilder,1933,2016,"actor,writer,director","tt0067992,tt0072431,tt0063462,tt0075223"
nm0000709,Robert Zemeckis,1951,\N,"producer,writer,director","tt0088763,tt0109830,tt0118884,tt0162222"
nm0000713,Joel Oliansky,1935,2002,"writer,director,actor","tt0205655,tt0096108,tt0081900,tt0069599"
nm0000720,Jim Abrahams,1944,2024,"writer,producer,director","tt0080339,tt0088286,tt0083466,tt0102059"
nm0000727,Percy Adlon,1935,2024,"director,writer,producer","tt0095801,tt0090377,tt0082225,tt0108636"
nm0000735,Brian Aldiss,1925,2017,"writer,actor","tt0212720,tt0099612,tt31724576,tt0432260"
nm0000736,Robert Aldrich,1918,1983,"director,assistant_director,producer","tt0070030,tt0071771,tt0056687,tt0061578"
nm0000741,Tim Allen,1953,\N,"actor,producer,miscellaneous","tt0114709,tt0101120,tt0177789,tt0452681"
nm0000750,Jon Amiel,1948,\N,"director,producer,writer","tt0112722,tt0298814,tt0137494,tt0100822"
nm0000755,Lindsay Anderson,1923,1994,"director,actor,writer","tt0063850,tt0082158,tt0083694,tt0057578"
nm0000759,Paul Thomas Anderson,1970,\N,"director,writer,producer","tt0272338,tt11271038,tt0469494,tt0118749"
nm0000766,Theodoros Angelopoulos,1935,2012,"director,writer,producer","tt0096288,tt0156794,tt0081148,tt0114863"
nm0000770,David Anspaugh,1946,\N,"producer,director","tt0091217,tt0081873,tt0108002,tt4196848"
nm0000774,Michelangelo Antonioni,1912,2007,"writer,director,editor","tt0060176,tt0053619,tt0073580,tt0054130"
nm0000776,Michael Apted,1941,2021,"director,producer,miscellaneous","tt0454776,tt0095243,tt0384766,tt0157583"
nm0000778,Alfonso Arau,1932,\N,"actor,director,writer","tt0092086,tt0103994,tt2380307,tt0114887"
nm0000780,Denys Arcand,1941,\N,"writer,director,actor","tt0338135,tt0097635,tt0090985,tt7231342"
nm0000783,Dario Argento,1940,\N,"writer,producer,director","tt0065143,tt0073582,tt0084777,tt0080923"
nm0000786,George Armitage,1942,2025,"producer,writer,director","tt0119229,tt0065760,tt0075393,tt0100143"
nm0000788,Gillian Armstrong,1950,\N,"director,producer,writer","tt0079596,tt0117206,tt0110367,tt0245046"
nm0000791,Jack Arnold,1912,1992,"director,producer,writer","tt0046876,tt0050539,tt0045920,tt2402723"
nm0000797,Hal Ashby,1929,1988,"director,editorial_department,actor","tt0061811,tt0067185,tt0078841,tt0070290"
nm0000801,Olivier Assayas,1955,\N,"writer,director,producer","tt4714782,tt2452254,tt0401711,tt1321865"
nm0000806,Bille August,1948,\N,"director,writer,cinematographer","tt0107151,tt0093713,tt0438859,tt0119683"
nm0000807,Jane Austen,1775,1817,"writer,archive_footage","tt0114388,tt0116191,tt0414387,tt13456318"
nm0000808,Paul Auster,1947,2024,"writer,director,producer","tt0114478,tt0125879,tt3350042,tt0479074"
nm0000812,Roger Avary,1965,\N,"producer,writer,director","tt0110912,tt0105236,tt0110265,tt0442933"
nm0000814,John G. Avildsen,1935,2017,"director,editor,producer","tt0075148,tt0097647,tt0100507,tt0087538"
nm0000816,Jon Avnet,1949,\N,"director,producer,writer","tt0101921,tt0118055,tt0086200,tt0947798"
nm0000824,John Badham,1939,\N,"director,producer,actor","tt0086567,tt0091949,tt0076666,tt0094025"
nm0000837,Bob Balaban,1945,\N,"actor,director,producer","tt0280707,tt0310281,tt0379725,tt0075860"
nm0000841,Michael Ballhaus,1935,2017,"cinematographer,camera_department,director","tt0099685,tt0097322,tt0103874,tt0106226"
nm0000850,Clive Barker,1952,\N,"writer,producer,actor","tt0100260,tt0093177,tt0103919,tt0887261"
nm0000852,Jean-Marc Barr,1960,\N,"actor,producer,director","tt18795088,tt30221531,tt0095250,tt15768848"
nm0000853,Bruno Barreto,1955,\N,"director,producer,writer","tt2217458,tt0077452,tt0119815,tt0086871"
nm0000860,Paul Bartel,1938,2000,"actor,director,writer","tt0078087,tt0083869,tt0098261,tt0114814"
nm0000875,L. Frank Baum,1856,1919,"writer,producer,miscellaneous","tt0032138,tt0000679,tt0089908,tt0004207"
nm0000876,Noah Baumbach,1969,\N,"writer,director,producer","tt0367089,tt7653254,tt6160448,tt1517268"
nm0000877,Lamberto Bava,1944,\N,"director,assistant_director,producer","tt0089013,tt0101493,tt0090930,tt0088100"
nm0000878,Mario Bava,1914,1980,"cinematographer,special_effects,director","tt0067656,tt0068863,tt0055022,tt0059792"
nm0000881,Michael Bay,1965,\N,"producer,director,actor","tt0120591,tt2109248,tt1055369,tt0418279"
nm0000886,Warren Beatty,1937,\N,"actor,producer,writer","tt0082979,tt0077663,tt0061418,tt0118798"
nm0000894,Jean-Jacques Beineix,1946,2022,"assistant_director,producer,director","tt0090563,tt0082269,tt0104473,tt0098226"
nm0000905,Roberto Benigni,1952,\N,"actor,writer,director","tt0118799,tt0419198,tt0090967,tt0102164"
nm0000907,Richard Benjamin,1938,\N,"actor,director,producer","tt0070909,tt0073766,tt0070291,tt0065528"
nm0000914,Robert Benton,1932,2025,"writer,director,producer","tt0079417,tt0061418,tt0078346,tt0087921"
nm0000915,Bruce Beresford,1940,\N,"director,producer,writer","tt0097239,tt0080310,tt0091081,tt4196848"
nm0000916,Peter Berg,1964,\N,"producer,actor,writer","tt0108724,tt0110308,tt0124198,tt1091191"
nm0000921,Andrew Bergman,1945,\N,"writer,director,producer","tt0117765,tt0071230,tt0089155,tt0110167"
nm0000923,Busby Berkeley,1895,1976,"miscellaneous,director,music_department","tt0026421,tt0024028,tt0027686,tt0029725"
nm0000927,Irving Berlin,1888,1989,"music_department,composer,writer","tt0029852,tt0038370,tt0036430,tt0034862"
nm0000929,Corbin Bernsen,1954,\N,"actor,producer,writer","tt0373469,tt0097815,tt0110442,tt0116075"
nm0000934,Bernardo Bertolucci,1941,2018,"writer,director,producer","tt0065571,tt0093389,tt0070849,tt0117737"
nm0000940,Bigas Luna,1946,2013,"writer,director,producer","tt0104545,tt0090644,tt0129923,tt0078934"
nm0000941,Kathryn Bigelow,1951,\N,"director,producer,actress","tt0887912,tt1790885,tt5390504,tt0093605"
nm0000944,Antonia Bird,1951,2013,"director,producer,archive_footage","tt0110889,tt0119092,tt0129332,tt0263181"
nm0000948,Shane Black,1961,\N,"writer,actor,director","tt0093773,tt3799694,tt0373469,tt1300854"
nm0000953,Peter Bogdanovich,1939,2022,"actor,director,writer","tt0067328,tt0063671,tt0070510,tt0079843"
nm0000958,John Boorman,1933,\N,"producer,director,writer","tt0093209,tt0082348,tt0120706,tt0068473"
nm0000965,Danny Boyle,1956,\N,"director,producer,writer","tt1542344,tt0289043,tt0111149,tt1010048"
nm0000972,Tinto Brass,1933,\N,"actor,writer,director","tt0065161,tt0080491,tt0057942,tt0104014"
nm0000975,Robert Bresson,1901,1999,"writer,director,assistant_director","tt0049902,tt0060138,tt0042619,tt0061996"
nm0000976,Martin Brest,1951,\N,"director,writer,producer","tt0105323,tt0095631,tt0086960,tt0119643"
nm0000983,Albert Brooks,1947,\N,"actor,writer,music_department","tt0780504,tt0092699,tt0101698,tt0089504"
nm0000985,James L. Brooks,1940,\N,"writer,producer,miscellaneous","tt0092699,tt0119822,tt0086425,tt0371246"
nm0001008,Frank Capra,1897,1991,"director,writer,producer","tt0038650,tt0025316,tt0030993,tt0031679"
nm0001022,Dana Carvey,1955,\N,"actor,writer,producer","tt0105793,tt0295427,tt0108525,tt0072562"
nm0001023,John Cassavetes,1929,1989,"actor,director,writer","tt0063522,tt0087644,tt0072417,tt0079672"
nm0001024,Nick Cassavetes,1959,\N,"actor,director,writer","tt0119094,tt0138304,tt1078588,tt0426883"
nm0001031,Claude Chabrol,1930,2010,"director,writer,actor","tt0051404,tt0112769,tt0096336,tt0120018"
nm0001037,Graham Chapman,1941,1989,"writer,actor,miscellaneous","tt0071853,tt0085959,tt0079470,tt0063929"
nm0001040,Joan Chen,1961,\N,"actress,director,producer","tt0093389,tt0113492,tt0110725,tt0808357"
nm0001047,Michael Cimino,1939,2016,"director,writer,producer","tt0077416,tt0067756,tt0080855,tt0090350"
nm0001053,Ethan Coen,1957,\N,"producer,writer,director","tt6412452,tt2042568,tt1019452,tt0116282"
nm0001054,Joel Coen,1954,\N,"producer,writer,director","tt6412452,tt10095582,tt0116282,tt2042568"
nm0001060,Chris Columbus,1958,\N,"producer,writer,director","tt0241527,tt0295297,tt1454029,tt0294870"
nm0001068,Sofia Coppola,1971,\N,"director,actress,writer","tt0099674,tt0159097,tt0335266,tt5592248"
nm0001070,Bill Cosby,1937,\N,"actor,music_department,writer","tt0086687,tt0093405,tt0058816,tt0063871"
nm0001072,Joseph Cotten,1905,1994,"actor,writer,soundtrack","tt0033467,tt0035015,tt0036342,tt0041959"
nm0001076,Joan Crawford,1907,1977,"actress,writer,producer","tt0037913,tt0056687,tt0023926,tt0023369"
nm0001081,Cameron Crowe,1957,\N,"writer,producer,director","tt0181875,tt0116695,tt0259711,tt0105415"
nm0001084,Ice Cube,1969,\N,"executive,director,producer","tt13186306,tt6914708,tt0285341,tt0102526"
nm0001090,Joe D'Amato,1936,1999,"director,cinematographer,camera_department","tt0074472,tt0068972,tt0085183,tt0089091"
nm0001093,John Dahl,1956,\N,"director,writer,art_department","tt0110308,tt0105226,tt0097662,tt0128442"
nm0001094,Roald Dahl,1916,1990,"writer,actor,soundtrack","tt0100944,tt0062512,tt0067992,tt0047708"
nm0001102,Joe Dante,1946,\N,"director,producer,miscellaneous","tt0078087,tt0093260,tt0087363,tt0082533"
nm0001104,Frank Darabont,1959,\N,"writer,producer,director","tt0111161,tt0120689,tt0884328,tt1520211"
nm0001112,Andrew Davis,1946,\N,"director,cinematographer,writer","tt0106977,tt0311289,tt0105690,tt0406816"
nm0001120,Vittorio De Sica,1901,1974,"actor,director,writer","tt0040522,tt0045274,tt0047313,tt0043809"
nm0001124,Cecil B. DeMille,1881,1959,"producer,director,editor","tt0049833,tt0044672,tt0043014,tt0041838"
nm0001128,Alain Delon,1935,2024,"actor,producer,writer","tt0062229,tt0057091,tt0056736,tt0054189"
nm0001129,Jonathan Demme,1944,2017,"director,producer,writer","tt0102926,tt0107818,tt1084950,tt0268126"
nm0001130,Ted Demme,1963,2002,"director,producer,actor","tt0221027,tt0115639,tt0342275,tt0110955"
nm0001135,John Derek,1926,1998,"actor,director,cinematographer","tt0049833,tt0041555,tt0099656,tt0086987"
nm0001139,Tom DiCillo,1953,\N,"director,cinematographer,writer","tt0412637,tt0113677,tt0104567,tt1333667"
nm0001149,Richard Donner,1930,2021,"director,producer,actor","tt0078346,tt0089457,tt0093409,tt0118883"
nm0001162,Griffin Dunne,1955,\N,"actor,director,producer","tt0088680,tt0082010,tt1333125,tt0790636"
nm0001165,Charles S. Dutton,1951,\N,"actor,producer,director","tt0103644,tt0348836,tt0117913,tt1038686"
nm0001168,Bob Dylan,1941,\N,"music_artist,music_department,composer","tt0078151,tt0319829,tt0070518,tt0185014"
nm0001170,Roger Ebert,1942,2013,"writer,actor,producer","tt0090523,tt2382298,tt0075583,tt0065466"
nm0001175,Blake Edwards,1922,2010,"writer,producer,director","tt0075066,tt0072081,tt0051301,tt0084865"
